id,title,primary,secondary,year,doi,animals,feedback,models_ref,models2,reviews,has_pdf,has_notes,notes
rec1G5Z6VrjN33zdK,Rate Models for Conductance-Based Cortical Neuronal Networks,Shriki,,2003,10.1162/08997660360675053,,,,Shriki 2003,,False,True,"Computational model study. In this work, we show that conductance-based models of large cortical neuronal networks can be described by simpliﬁed rate models, provided that the network state does not possess a high degree of synchrony."
rec1JKynLMl2Bh82A,Finding Resonance: Adaptive Frequency Oscillators for Dynamic Legged Locomotion,Buchli,,2006,10.1109/iros.2006.281802,,,,,,False,False,
rec1Q4YaKntrUybgY,A spinal circuit model with asymmetric cervical-lumbar layout controls backward locomotion and scratching in quadrupeds,Zhu,Han; Yu; Wang,2024,10.1016/j.neunet.2024.106422,,,,,,False,False,
rec1YbgpV0dpRyTwr,Contribution of Force Feedback to Ankle Extensor Activity in Decerebrate Walking Cats,Donelan and Pearson,,2004,10.1152/jn.00325.2004,,,,,,True,False,
rec1cwa52UCEumlYH,Circuits controlling vertebrate locomotion: moving in a new direction,Goulding,,2009,10.1038/nrn2608,,,,,,True,False,
rec1fq8mn2oqPeLiQ,Supraspinal contributions to the initiation and control of locomotion in the cat.,Armstrong,,1986,10.1016/0301-0082(86)90021-3,Cat,,,,Armstrong 1986,False,False,
rec1pJjSUTKWKxPLy,Recent Insights into the Rhythmogenic Core of the Locomotor CPG.,Rančić and Gosgnach,,2021,10.3390/ijms22031394,,,,,,False,False,
rec1wae5IFa5E0TA7,Ankleextensor groupIafferents excite extensors throughout thehindlimb during fictive locomotion inthecat,Guertin,Angel; Perreault; McCrea,2011,,,,,,,False,False,
rec1ybcbOKeJfannO,Analyzing Moment Arm Profiles in a Full-Muscle Rat Hindlimb Model,Young,Rode; Hunt; Quinn,2019,10.3390/biomimetics4010010,,,,,,True,False,
rec23I4Y4cASCKLX1,Hindlimb muscle spindles inform preparatory forelimb coordination prior to landing in toads,Duman,,2023,10.1242/jeb.244629,Human,,,,,False,True,We found that toads significantly delayed the onset and reduced the activation duration of their elbow extensor muscle following spindle Ia afferent ablation in the hindlimbs.
rec2BZRpatIkJvjp0,A Synthetic Nervous System Model of the Insect Optomotor Response,Sedlackova,Szczecinski; Quinn,2020,10.1007/978-3-030-64313-3_30,,,,,,False,False,
rec2EuBpkiSUE9ZtV,"Forms of forward quadrupedal locomotion. II. A comparison of posture, hindlimb kinematics, and motor patterns for upslope and level walking.",Carlson-Kuhta,Trank; Smith,1998,10.1152/jn.1998.79.4.1687,,,,,,True,False,
rec2FItA3bMpFmt7D,Plasticity of connections underlying locomotor recovery after central and/or peripheral lesions in the adult mammals,Rossignol,,2006,10.1098/rstb.2006.1889,,,,,,True,False,
rec2FWsbPOP67VY96,Nitride-Based Materials for Flexible MEMS Tactile and Flow Sensors in Robotics,Abels,,2017,10.3390/s17051080,,,,,Abels 2017,False,True,Review of nitride-based materials flexible mems tactile flow. We present a review of technological platforms based on nitride materials (aluminum nitride and silicon nitride) for the microfabrication of a class of ﬂexible micro-electro-mechanical systems.
rec2LGJaT2IS5CkEM,How Fish Power Swimming,Rome,,1993,10.1126/science.8332898,,,,,,False,False,
rec2RZbu3cjgkAJvv,The effects of self-reinnervation of cat medial and lateral gastrocnemius muscles on hindlimb kinematics in slope walking,Maas,,2007,10.1007/s00221-007-0938-8,,,,,,False,False,
rec2WEJ8xYbaKunaf,Identification of Minimal Neuronal Networks Involved in Flexor-Extensor Alternation in the Mammalian Spinal Cord,Talpalar,Endo; Löw; Borgius; Hägglund; Dougherty; Ryge; Hnasko; Kiehn,2011,10.1016/j.neuron.2011.07.011,,,,,,True,False,
rec2gECWIzFDn4tsj,What mechanisms coordinate leg movement in walking arthropods?,Cruse,,1990,10.1016/0166-2236(90)90057-H,Arthropods,,,,,True,True,"Comparing the walk of a six-legged robot with the walk of an insect, the immense differences are immediately obvious. The walking of an
animal is much more versatile, and seems to be more
effective and elegant. Thus it is useful to consider the
corresponding biological mechanisms in order to apply
these or similar mechanisms to the control of walking
legs in machines. Until recently, little information on
the biological control mechanisms has been available;
this paper summarizes recent developments."
rec2h1B7gvrjFk4I4,Activity of vestibulospinal neurons during locomotion.,Orlovsky,,1972,10.1016/0006-8993(72)90007-8,,,,,,False,False,
rec2jytMTqUIEJMaK,Synaptic control of hindlimb motoneurones during three forms of the fictive scratch reflex in the turtle.,Robertson and Stein,,1988,10.1113/jphysiol.1988.sp017281,Turtle,,,,,True,True,Intracellular recordings for three distinct forms of turtle scratch reflex in response to tactile stimulation of body surface.
rec2l3X3DRev8OZEt,Simulations of neuromuscular control in lamprey swimming,Leeuwen,Ekeberg; Grillner,1999,10.1098/rstb.1999.0441,Lamprey,,,Ekeberg and Grillner,,True,True,"Cited by Geyer and Herr.
The neuronal generation of vertebrate locomotion has been extensively studied in the lamprey. Models at different levels of abstraction are being used to describe this system, from abstract nonlinear oscillators to interconnected model neurons comprising multiple compartments and a Hodgkin–Huxley representation of the most relevant ion channels. To study the role of sensory feedback by simulation, it eventually also becomes necessary to incorporate the mechanical movements in the models. By using simplifying models of muscle activation, body mechanics, counteracting water forces, and sensory feedback through stretch receptors and vestibular organs, we have been able to close the feedback loop to enable studies of the interaction between the neuronal and the mechanical systems. The neuromechanical simulations reveal that the currently known network is sufficient for generating a whole repertoire of swimming patterns. Swimming at different speeds and with different wavelengths, together with the performance of lateral turns can all be achieved by simply varying the brainstem input. The neuronal mechanisms behind pitch and roll manoeuvres are less clear. We have put forward a ‘crossed–oscillators’ hypothesis where partly separate dorsal and ventral circuits are postulated. Neuromechanical simulations of this system show that it is also capable of generating realistic pitch turns and rolls, and that vestibular signals can stabilize the posture during swim"
rec2qezdCASwOpm4G,"Human postural sway results from frequent, ballistic bias impulses by soleus and gastrocnemius",Loram,,2005,10.1113/jphysiol.2004.076307,Human,,,,,False,True,Here we employ automated analysis of ultrasound images to resolve calf muscle (soleus and gastro- cnemius) length changes as small as 10 µmi n standing subjects.
rec2vnLEhwtLZDpnJ,Dynamic simulation of insect walking.,Ekeberg,Blümel; Büschges,2004,10.1016/j.asd.2004.05.002,Stick Insect; Insects; Arthropods,Chordotonal organ multi-synaptic excitation; Chordotonal organ multi-synaptic inhibition,,Ekeberg 2004,,False,True,"A 3-D biomechanical stick-insect leg driven by a reduced neural controller containing only experimentally established chordotonal-organ reflex mechanisms reproduces the full middle-leg step cycle in both restricted and unrestrained simulations; front-leg stepping works with the same mechanisms, whereas hind-leg control requires reorganized, possibly sign-reversed, chordotonal influence on levator–depressor timing."
rec2xw9sbTwrnAK5e,Balancing of humanoid robot using contact force/moment control by task-oriented whole body control framework,Lee,,2015,10.1007/s10514-015-9509-1,Human,,,,,False,True,The proposed approach in this paper is to maintain balance of torque-controlled robots by controlling contact force and moment using whole-body control framework with hierar- chical structure.
rec30h0ZO39QemhM4,Robotics Application of a Method for Analytically Computing Infinitesimal Phase Response Curves,Fitzpatrick,Wang; Thomas; Quinn; Szczecinski,2020,10.1007/978-3-030-64313-3_12,,,,,,False,False,
rec317AjMO6M6rHW7,General Principles of Rhythmogenesis in Central Pattern Generator Networks,Harris-Warrick,,2010,10.1016/b978-0-444-53613-6.00014-9,,,,,,False,False,
rec3237UGETrSD0Uw,"Modeling the spinal cord neural circuitry
controlling cat hindlimb movement
during locomotion",Ivashko,Prilutsky; Markin; Chapin; Rybak,2003,10.1016/S0925-2312(02)00832-9,Cat,Ib disynaptic excitation; Ib disynaptic excitation; Ib stance to swing; Ib swing to stance; Ia stance to swing; Ia swing to stance; Ia monosynaptic; Ia monosynaptic excitation; Mechanosensory monosynaptic excitation; Ia disynaptic inhibition,,Ivashko 2003,,True,True,"Abstract
A computational model of the spinal cord neural circuitry that controls locomotor movements of simulated cat hindlimbs. The neural circuitry includes two central pattern generators integrated with reflex circuits. All neurons were modeled in the Hodgkin–Huxley style. The musculoskeletal system includes two three-joint hindlimbs and the trunk. Each
hindlimb is actuated by nine one- and two-joint muscles (a Hill-type model). Our simulations allow us to suggest a specific network architecture in the spinal cord and a pattern of feedback connectivities (from Ia and Ib fibers and touch sensors) that provide stable locomotion and realistic patterns of muscle activation and kinematics of limb movements."
rec35pluvCkgMozzQ,Simple robot suggests physical interlimb communication is essential for quadruped walking,Owaki,Kano; Nagasawa; Tero; Ishiguro,2013,10.1098/rsif.2012.0669,,,,,,True,False,
rec3BRkL2st5JzzeI,Group I disynaptic excitation of cat hindlimb flexor and bifunctional motoneurones during fictive locomotion.,Quevedo,Fedirchuk; Gosgnach; McCrea,2000,10.1111/j.1469-7793.2000.t01-1-00549.x,,,,,,False,False,
rec3HghAPeu0ml7s9,Hybrid terrain-adaptive lower-extremity systems,Herr,Casler; Han,2009,,,,,,,False,False,
rec3OJDWO5tzJx5eg,Identification of human balance control in standing,van der Kooij,,2004,10.1109/icsmc.2004.1400711,Human,,,van der Kooij 2004,,False,True,Computational model study. The results show that subjects balancing on a randomly moving platform in the for%vard-backward direction applied a minimal stifJiness strategv.
rec3XUOTJFV4K6PZ9,Adaptive Control Strategies for Interlimb Coordination in Legged Robots: A Review,Aoi,Manoonpong; Ambe; Matsuno; Wörgötter,2017,10.3389/fnbot.2017.00039,,,,,,True,False,
rec3bT3OcdqqGQ2dY,The Circuitry of the Human Spinal Cord: Its Role in Motor Control and Movement Disorders,Pierrot-Deseilligny and Burke,,2005,,Human,,,,,False,True,"Reference monograph on human spinal circuitry — descending tracts, reflex pathways, and their pathophysiology in movement disorders."
rec3fLgtC69pKIljl,A multi-Layered neural control framework: Combining central pattern generators utilizing muscle synergy Theory and incorporating proprioceptors,Mo,,2025,10.1016/j.engappai.2025.111811,Human,,,Mo 2025,,False,True,"Bionic control framework combining CPG signals organized by muscle-synergy principles with reinforcement-learning-adapted weights and a lower proprioceptive feedback loop, integrated into an upper-limb musculoskeletal model; simulated elbow kinematics matched human experiments, and removing the proprioceptive loop degraded accuracy and stability."
rec3sCaTz2c5DZML2,Biomechanical and Sensory Feedback Regularize the Behavior of Different Locomotor Central Pattern Generators,Deng,Hunt; Szczecinski; Quinn,2022,10.3390/biomimetics7040226,,,,Deng 2022,,False,True,Adding biomechanics and sensory feedback regularizes the behavior of different locomotor CPG oscillator models — disparate CPG formulations converge on human-like dynamics once the body and feedback are included.
rec3wynmDwk03ghmF,Tapping into spinal circuits to restore motor function.,Barbeau,McCrea; O’Donovan; Rossignol; Grill; Lemay,1999,10.1016/s0165-0173(99)00008-9,,,,,,False,False,
rec43V3D0BUhYFUGn,"Robustness, flexibility, and sensitivity in a multifunctional motor control model",Lyttle,Gill; Shaw; Thomas; Chiel,2017,10.1007/s00422-016-0704-8,,,,Lyttle 2017,,False,True,"Robustness, flexibility, and sensitivity analysis of a multifunctional motor control model — how circuit architecture trades off these properties across behaviors."
rec49moYzPdK3NAnz,Synchronization and desynchronization of neural oscillators,Tonnelier,,1999,10.1016/s0893-6080(99)00068-4,,,,Tonnelier 1999,,False,True,"Computational model study. First, we present a synthesis of the mathematical properties of both neural oscillator versions."
rec4BCEY85QGzoDJY,"Design, Modeling and Direction Control of a Wire-Driven Robotic Fish Based on a 2-DoF Crank-Slider Mechanism",Wang,,2026,10.48550/arxiv.2603.02851,,,,,,False,True,"To address this trade-off, we develop a wire-driven robotic fish equipped with a 2-degree-of-freedom (DoF) crank–slider mechanism that decouples propulsion from steering, enabling both high swimming speed and agile maneuvering."
rec4Fjm3aTcH2k0AB,Asymmetric Operation of the Locomotor Central Pattern Generator in the Neonatal Mouse Spinal Cord,Endo and Kiehn,,2008,10.1152/jn.90729.2008,,,,,,False,False,
rec4HECg6ruANPz6E,Locomotion of snake-like robots using adaptive neural oscillators,Ryu,,2010,10.1007/s11370-009-0049-4,,,,,,False,False,
rec4HFbZcf1ik1Om2,The mammalian central pattern generator for locomotion,Guertin,,2009,10.1016/j.brainresrev.2009.08.002,,,,,,True,False,
rec4IaJpno8mSncUd,Entrainment of the locomotor rhythm by group Ib afferents from ankle extensor muscles in spinal cats.,Pearson,Collins; Donelan; Fitzpatrick; Grahn; Wolf,1992,10.1007/bf00230939,Cat,Ib stance to swing,,,,False,True,"Rhythmic contractions of ankle extensor muscles or stimulation of their group I afferents entrain the spinal locomotor rhythm in spinal cats, with flexor bursts timed to follow release of extensor stretch by about 200 ms — direct evidence that Ib input during stance inhibits flexor-burst generation and promotes extensor activity, so a decline in Ib activity near the end of stance helps time the stance-to-swing transition."
rec4MMfJDBhbZx8A5,Prominent Role of the Spinal Central Pattern Generator in the Recovery of Locomotion after Partial Spinal Cord Injuries,Barriere,,2008,10.1523/jneurosci.5692-07.2008,,,,,,False,False,
rec4MUsc5QYbLQO93,Phase dependent reflex reversal during walking in chronic spinal cats,Forssberg,Grillner; Rossignol,1975,10.1016/0006-8993(75)91013-6,,,,,,False,False,
rec4NTyIWTWAom4fq,Investigating the role of low level reinforcement reflex loops in insect locomotion.,Goldsmith,Quinn; Szczecinski,2021,10.1088/1748-3190/ac28ea,,,,,,True,False,
rec4PNfVhZjBioa08,Networks of spiking neurons: The third generation of neural network models,Maass,,1997,10.1016/s0893-6080(97)00011-7,,,,Maass 1997,,False,True,"Computational model study. In particular it is shown that networks of spiking neurons are, with regard to the number of neurons that are needed, computationally more powerful than these other neural network models."
rec4QLIO1aXeQFced,Neuromuscular Basis of Kinematic Adaptations During Bidirectional Walking,Mojtabavi,,2026,10.64898/2026.02.11.705376,Human,,,,,True,True,"Bidirectional split-belt walking (equal speeds, opposite directions) in twelve humans: rhythm generation remained robust (burst-to-cycle ratios stable) while pattern formation adapted — prolonged TA activation in the backward-moving leg persisted into washout — indicating selective amplitude recalibration rather than rhythm reorganization."
rec4TowLTGkgumlXU,Muscle modes during shifts of the center of pressure by standing persons: effect of instability and additional support,Krishnamoorthy,,2004,10.1007/s00221-003-1812-y,Human,,,,,False,True,In the present study we investigated the effects of support surface instability and availability of a light touch or grasp of a stable external support on the M-modes and their co-variation.
rec4XpUFoz8LpQ10x,Discharges of single hindlimb afferents in the freely moving cat.,Procházka,Westerman; Ziccone,1976,10.1152/jn.1976.39.5.1090,,,,,,True,False,
rec4ilH82EGchz0uJ,Method for using a model-based controller for a robotic leg,Herr,Geyer; Eilenberg,2016,,,,,,,False,False,
rec4q7skepffLlG9P,A connectionist central pattern generator for the aquatic and terrestrial gaits of a simulated salamander,Ijspeert,,2001,10.1007/s004220000211,Salamander,,,Ijspeert 2001,,False,False,
rec4qLdYPmyjgG02Z,An adaptive model of sensory integration in a dynamic environment applied to human stance control,Kooij,,2000,10.1007/s004220000196,Human,,,Kooij 2000,,False,False,
rec4qaxGiMJ2k6c7e,Control for multifunctionality: bioinspired control based on feeding in Aplysia californica,Webster-Wood,Gill; Thomas; Chiel,2020,10.1007/s00422-020-00851-9,,,,,,True,False,
rec4sOUJC8ZCeSYgW,Estimation of Quasi-Stiffness of the Human Knee in the Stance Phase of Walking,Shamaei,,2013,10.1371/journal.pone.0059993,Human,,,,,True,False,
rec4wsaohmzllMnjR,Increased amplitude of cutaneous reflexes during human running as compared to standing.,Duysens,Tax; Trippel; Dietz,1993,10.1016/0006-8993(93)90903-z,,,,,,False,False,
rec4wyreIHDN8SXiX,Application of a rat hindlimb model: a prediction of force spaces reachable through stimulation of nerve fascicles,Johnson,,2011,10.1109/tbme.2011.2106784.application,Rat,,,Johnson 2011,,False,True,"Computational model study. We investigated the feasibility of functional electrical stimulation paradigms that minimize the input dimensions for controlling the limbs by stimulating at nerve fascicles, utilizing a model of the rat hindlimb which combined previously collected morphological data with muscle physiological parameters presented herein."
rec4x5gUqxWyicCPJ,Golgi tendon organs in mammalian skeletal muscle: functional properties and central actions,Jami,,1992,10.1152/physrev.1992.72.3.623,,,,,,False,False,
rec4xSUdAGn6omVtB,Fictive motor patterns in chronic spinal cats,Pearson and Rossignol,,1991,10.1152/jn.1991.66.6.1874,,,,,,True,False,
rec52OeCf4l5wFiXe,Sensory feedback by peripheral nerve stimulation improves task performance in individuals with upper limb loss using a myoelectric prosthesis,Schiefer,,2016,10.1088/1741-2560/13/1/016001,Human,,,,,False,True,13 016001 View the article online for updates and enhancements.
rec54bBKJSjsVkg60,A Spiking Neural Architecture for Coordinating Arm and Locomotor Control,Steffen,,2026,10.48550/arXiv.2606.11034,Human,,,Steffen 2026,,True,True,"First integrated spiking controller coordinating bipedal locomotion and arm control on a full-scale humanoid: NEF/SPA neural control with a biologically grounded spiking basal-ganglia model mediates action selection, validated in Nengo–Isaac Sim co-simulation for reaching, drawing, path-following locomotion, and task switching."
rec5AonT0nLlGpzHz,Interlimb coordination during fictive locomotion in the thalamic cat.,Orsal et al.,,1990,10.1007/bf00228795,Cat,,,,,False,True,"Interlimb coordination during fictive locomotion in the thalamic cat persists without phasic sensory feedback, demonstrating central interlimb coupling that sensory input can then modulate."
rec5I9UPZcLsoKZrS,Sensory Modulation of Locomotor-Like Membrane Oscillations in Hb9-Expressing Interneurons,Hinckley,Wiesner; Mentis; Titus; Ziskind-Conhaim,2010,10.1152/jn.00996.2009,,,,,,True,False,
rec5TrEW6v3HlB4bx,The use of state-dependent modulation of spinal reflexes as a tool to investigate the organization of spinal interneurons.,Burke,,1999,10.1007/s002210050847,,,,,,False,False,
rec5Zg2JdbuTEWRgt,Evolution and Development of a Central Pattern Generator for the Swimming of a Lamprey,Ijspeert,,1999,10.1162/106454699568773,Lamprey,,,Ijspeert 1999,,False,True,"Computational model study. Inspired by the central pattern generators found in animals, we develop neural controllers that can produce the patterns of oscillations necessary for the swimming of a simulated lamprey."
rec5mXZipoOAVszd0,Firing Properties of Identified Interneuron Populations in the Mammalian Hindlimb Central Pattern Generator,Butt,Harris-Warrick; Kiehn,2002,10.1523/jneurosci.22-22-09961.2002,,,,,,True,False,
rec5nlSDkEYm0W4Zs,Organization of mammalian locomotor rhythm and pattern generation,McCrea and Rybak,,2008,10.1016/j.brainresrev.2007.08.006,Cat; Mammals,,,,,True,True,"Central pattern generators (CPGs) located in the spinal cord produce the coordinated activation of flexor and extensor motoneurons during locomotion. Previously proposed architectures for the spinal locomotor CPG have included the classical half-center oscillator and the unit burst generator (UBG) comprised of multiple coupled oscillators. We have recently proposed another organization in which a two-level CPG has a common rhythm generator (RG) that controls the operation of the pattern formation (PF) circuitry responsible for motoneuron activation. These architectures are discussed in relation to recent data obtained during fictive locomotion in the decerebrate cat. The data show that the CPG can maintain the period and phase of locomotor oscillations both during spontaneous deletions of motoneuron activity and during sensory stimulation affecting motoneuron activity throughout the limb. The proposed two-level CPG organization has been investigated with a computational model which incorporates interactions between the CPG, spinal circuits and afferent inputs. The model includes interacting populations of spinal interneurons and motoneurons modeled in the Hodgkin-Huxley style. Our simulations demonstrate that a relatively simple CPG with separate RG and PF networks can realistically reproduce many experimental phenomena including spontaneous deletions of motoneuron activity and a variety of effects of afferent stimulation. The model suggests plausible explanations for a numbe"
rec5sjYrRbJ9t4e20,"Functionally complex muscles of the cat hindlimb. IV. Intramuscular distribution of movement command signals and cutaneous reflexes in broad, bifunctional thigh muscles",Pratt,Chanaud; Loeb,1991,10.1007/bf00229407,,,,,,False,False,
rec5srLHcKIr8DRpI,A robust controller for manipulator driven by artificial muscle actuator,Cai,,1996,10.1109/cca.1996.558917,,,,Cai 1996,,False,True,"Computational model study. By applying the sliding mode control technique and the presented full dynamic of manipula- tor, a robust tracking control approach is developed for such manipulator system."
rec64h8He8xeJf189,Organization of functional synaptic connections between medullary reticulospinal neurons and lumbar descending commissural interneurons in the neonatal mouse.,Szokol,Glover; Perreault,2011,10.1523/jneurosci.5486-10.2011,,,,,,True,False,
rec6CY6DRoQ0Nlgvn,Control Engineering,Keviczky,,2019,10.1007/978-981-10-8297-9,,,,,,False,True,"Johnson, Oxford, UK Linda Bushnell, Seattle, WA, USA More information about this series at http://www.springer.com/series/4045."
rec6EhQhpWHDNDPX5,Modulation of forelimb and hindlimb muscle activity during quadrupedal tied-belt and split-belt locomotion in intact cats,Frigon,Thibaudier; Hurteau,2015,10.1016/j.neuroscience.2014.12.084,Cat,,,,,True,True,"Cats were chronically implanted for EMG, which was
obtained from six muscles: biceps brachii, triceps brachii,
flexor carpi ulnaris, sartorius, vastus lateralis and medial
gastrocnemius. During tied-belt locomotion, cats stepped
from 0.4 to 1.0 m/s in 0.1 m/s increments whereas during
split-belt locomotion, cats stepped with left–right speed
differences of 0.1 to 0.4 m/s in 0.1 m/s increments. During
tied-belt locomotion, EMG burst durations and mean EMG
amplitudes of all muscles respectively decreased and
increased with increasing speed. During split-belt locomotion, there was a clear differential modulation of the EMG
patterns between flexors and extensors and between the
slow and fast sides. Changes in the EMG pattern of some
muscles could be explained by the speed of the belt the limb
was stepping on, while in other muscles there were clear
dissociations from tied-belt values at matched speeds.
Therefore, results show that EMG patterns during split-belt
locomotion are modulated to meet task requirements partly
via signals related to the stepping speed of the homonymous
limb and from the other limbs."
rec6Fd1OrPbNA2Yl0,Main characteristics of the hindlimb locomotor cycle in the decorticate cat with special reference to bifunctional muscles.,Perret and Cabelguen,,1980,10.1016/0006-8993(80)90207-3,,,,,,False,False,
rec6GvqjHjEavh3QO,Role of muscle spindle feedback in regulating muscle activity strength during walking at different speed in mice.,Mayer et al.,,2018,10.1152/jn.00250.2018,Mice,Ia monosynaptic excitation,,,,False,True,"Muscle spindle feedback regulates the strength of muscle activity across walking speeds in mice — Ia feedback scales EMG amplitude, not only timing, so spindle loss degrades force output as speed increases."
rec6LflOgZmei9MLZ,Neuromodulation and flexibility in Central Pattern Generator networks,Harris-Warrick,,2011,10.1016/j.conb.2011.05.011,,,,,,False,False,
